('Python高级开发工程师', 'https://jobs.51job.com/guangzhou-thq/102974923.html?s=01&t=0', '国电华研电力科技有限公司', '广州-天河区', '0.8-1.5万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-thq/92833813.html?s=01&t=0', '广州回头车信息科技有限公司', '广州-天河区', '1.2-2万/月', '08-15')
('Python高级开发工程师', 'https://jobs.51job.com/guangzhou-thq/103685022.html?s=01&t=0', '广州紫鲸互联网科技有限公司', '广州-天河区', '0.8-1.2万/月', '08-15')
('Python运营研发工程师', 'https://jobs.51job.com/guangzhou-thq/103580660.html?s=01&t=0', '北京金山安全管理系统技术有限公司', '广州-天河区', '1-1.5万/月', '08-15')
('Python开发工程师（实习生）', 'https://jobs.51job.com/guangzhou-thq/102787290.html?s=01&t=0', '珠海钧誉资产管理有限公司', '广州-天河区', '4.5-6千/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-thq/103804359.html?s=01&t=0', '乐至（上海）科技有限公司', '广州-天河区', '0.8-1.5万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-thq/104566036.html?s=01&t=0', '广州银典信息科技有限公司', '广州-天河区', '4.5-6千/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/foshan-ccq/103590635.html?s=01&t=0', '和元达信息科技有限公司', '异地招聘', '1.2-1.7万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou/71717870.html?s=01&t=0', '广州宝巨信息技术有限公司', '广州', '0.6-1万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-yxq/101032204.html?s=01&t=0', '广州安莱信息通信技术有限公司', '广州-越秀区', '1-1.5万/月', '08-15')
('Python 后端开发工程师', 'https://jobs.51job.com/guangzhou-thq/99675528.html?s=01&t=0', '广州一一网络技术有限公司', '广州-天河区', '1-1.8万/月', '08-15')
('python程序员', 'https://jobs.51job.com/guangzhou/101736423.html?s=01&t=0', '广州市佩升前研市场信息咨询股份有...', '广州', '0.8-1万/月', '08-15')
('c++/java/golang/python服务端转erlang', 'https://jobs.51job.com/guangzhou-thq/93722479.html?s=01&t=0', '广州轩意网络科技有限公司', '广州-天河区', '1-2.3万/月', '08-15')
